latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
39.96646,-76.59592,301.6,0.37,0.58,2020-09-09,06:12,1,nominal,2.0NRT,287.7,0.3,N
37.38272,-80.66426,300.1,0.6,0.7,2020-09-09,06:12,1,nominal,2.0NRT,284.7,1.8,N
37.23436,-82.03791,297,0.71,0.75,2020-09-09,06:12,1,nominal,2.0NRT,286.9,0.6,N
40.15269,-74.76838,298.9,0.6,0.53,2020-09-09,06:12,1,nominal,2.0NRT,284.8,0.7,N
40.14046,-74.80566,301.1,0.6,0.53,2020-09-09,06:12,1,nominal,2.0NRT,284.7,1.8,N
39.9634,-76.59924,299.1,0.37,0.58,2020-09-09,06:12,1,nominal,2.0NRT,287.4,0.5,N
39.94015,-76.81515,309.7,0.38,0.59,2020-09-09,06:12,1,nominal,2.0NRT,288,1.3,N
44.1689,-76.80314,295.1,0.41,0.61,2020-09-09,06:12,1,nominal,2.0NRT,284.3,1.2,N
41.46522,-81.67806,304,0.71,0.75,2020-09-09,06:12,1,nominal,2.0NRT,289.7,1.3,N
41.45823,-81.67813,316.7,0.71,0.75,2020-09-09,06:12,1,nominal,2.0NRT,290,2.7,N
41.45125,-81.67818,315,0.71,0.75,2020-09-09,06:12,1,nominal,2.0NRT,289.8,2.7,N
41.46659,-81.6729,301.2,0.71,0.75,2020-09-09,06:12,1,nominal,2.0NRT,289.2,2.3,N
41.45967,-81.68177,311.3,0.71,0.75,2020-09-09,06:12,1,nominal,2.0NRT,289.3,2.3,N
41.45269,-81.68182,314.7,0.71,0.75,2020-09-09,06:12,1,nominal,2.0NRT,289.9,3.1,N
40.63881,-74.22196,303.3,0.57,0.52,2020-09-09,06:12,1,nominal,2.0NRT,291.6,2,N
40.75554,-81.43652,299.9,0.68,0.74,2020-09-09,06:12,1,nominal,2.0NRT,288.4,1,N
40.47416,-75.89382,297.5,0.35,0.56,2020-09-09,06:12,1,nominal,2.0NRT,285.5,0.5,N
40.39705,-79.85603,311.4,0.56,0.69,2020-09-09,06:12,1,nominal,2.0NRT,291,2.6,N
40.39525,-79.85735,311.1,0.56,0.69,2020-09-09,06:12,1,nominal,2.0NRT,290.9,2.6,N
40.39507,-79.85031,303.4,0.56,0.69,2020-09-09,06:12,1,nominal,2.0NRT,289.9,1.6,N
22.34829,-81.97971,310,0.54,0.68,2020-09-09,06:18,1,nominal,2.0NRT,257.8,0.7,N
18.92855,-70.35545,330.5,0.38,0.36,2020-09-09,06:18,1,nominal,2.0NRT,293.1,14.1,N
18.46324,-69.51517,303.5,0.39,0.36,2020-09-09,06:18,1,nominal,2.0NRT,291.9,0.7,N
18.40791,-69.6349,309.5,0.39,0.36,2020-09-09,06:18,1,nominal,2.0NRT,292.4,0.9,N
47.73587,-102.64142,299.8,0.46,0.63,2020-09-09,07:48,1,nominal,2.0NRT,271.7,0.5,N
47.73106,-103.04298,332.1,0.48,0.64,2020-09-09,07:48,1,nominal,2.0NRT,272.6,2.3,N
